artist_name,artist_id,country,begin_date,end_date,type,gender,disambiguation
Lionel Richie,3cb25fb2-5547-4b05-adec-1a5e37830d46,US,1949-06-20,,Person,male,
Lee Ritenour,0c361ea5-98c6-4947-900b-201833f2dd84,US,1952-01-11,,Person,male,
Jan Karlin,b748278a-83c9-47f9-b965-b5d49c416bdd,,,,Person,female,Southwest Chamber Music
Sam Smith,03ad1736-b7c9-412a-b442-82536d63a5c4,US,1969-08-06,2003-10-21,Person,male,US singer-songwriter
The Clinch Mountain Boys,a1bab8e5-8a9c-4c0a-8315-006170b1330b,US,,,Group,,
Alan Silvestri,f4c53778-e48d-4da4-9ddd-cc007f715d64,US,1950-03-26,,Person,male,American score composer
Katarina Karnéus,65106422-635c-460f-8ecc-2f5b5b08f125,SE,1965-11-26,,Person,female,
Original Broadway Cast Including David Hyde Pierce,f56f5dad-29be-44e2-95d2-ea1870910038,US,1959-04-03,,Person,male,
Hollywood Bowl Orchestra,b40ad2e7-ab1e-4652-9f37-122842dd3ca2,US,1990-10-17,,Orchestra,,
Boz Scaggs,18a33653-bbaf-4aa7-884c-73f02a7a4515,US,1944-06-08,,Person,male,
Mustard,0612bcce-e351-40be-b3d7-2bb5e1c23479,US,1990-06-05,,Person,male,"fka DJ Mustard, US hip‐hop producer"
Bob Mintzer Big Band,31dd2e79-9c86-42b7-96e4-0769f5eb65a5,US,,,Group,,
Vienna Philharmonic Orchestra,299597ae-3a20-4bf1-973e-03704af69f6b,GB,1946,,Orchestra,,
Rebirth Brass Band,73701a01-07e2-44f7-8935-e094bdc22892,US,1983,,Group,,
Levon Helm,392baa89-ea47-4de6-8dc0-fdac3ec85509,US,1940-05-26,2012-04-19,Person,male,
Richard Kaufman,1a054dd8-c5fa-40b6-9397-61c26b0185d4,US,1981-04-03,,Person,male,video game composer & arranger a.k.a. virt
James Taylor,107d0c22-d051-4d98-8206-4e14de02132a,US,1948-03-12,,Person,male,singer-songwriter and guitarist
Rod McKuen,a12980dd-8cf1-4802-84e3-32c08560cf49,US,1933-04-29,2015-01-29,Person,male,
Miho Hazama,b27a41bd-61fd-4743-90cd-a60ce02667a1,,1986-11-13,,Person,female,composer/arranger
Mike Nichols And Elaine May,aaad44cf-da70-41f3-b402-7d61ddd34cf8,US,1932-04-21,,Person,female,
Garrick Ohlsson,1b2c79e2-113b-4e74-91d4-af085b8a11b0,US,1948-04-03,,Person,male,pianist
James Naughton,b82520f2-a098-42c1-9910-65afa667a04f,,,,Person,,
George Gershwin 1925 Piano Roll; Michael Tilson Thomas cond. Columbia Jazz Band,65744963-191a-44ef-a3c7-b693a808a158,US,1898-09-26,1937-07-11,Person,male,composer
Burning Spear,16dad944-c492-43dd-88ed-e0b7ac520c40,JM,1945-03-01,,Person,male,
Sting,7944ed53-2a58-4035-9b93-140a71e41c34,,1951-10-02,,Person,male,"singer, songwriter & member of The Police"
Natalie Cole (,eb45032c-80da-469c-be20-1d09f08ef37f,US,1950-02-06,2015-12-31,Person,female,
Big Star,21d177ba-3d51-461e-9b3f-ad9a80b419dc,,1971,2010-05-15,Group,,
Christopher Cross,883e4ba4-8ccc-47ed-81df-df51e41792a9,US,1951-05-03,,Person,male,US singer‐songwriter
"David ""Honeyboy"" Edwards",940464ba-f8ac-482a-9cc1-0723e8b9707b,US,1915-06-28,2011-08-29,Person,male,
John McLaughlin,fcbc2086-5863-4659-b03d-44be704697d2,US,1942-01-04,,Person,male,guitarist
(The Muppets),b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,GB,1960,1970-04-10,Group,,"UK rock band, “The Fab Four”"
Tammy Wynette,26fe36eb-fd75-4799-bf0f-fa502a7bcfe8,US,1942-05-05,1998-04-06,Person,female,
2+2 Plus,5b537592-1c00-46ac-941d-db4ac2babf98,PL,1971,1992,Group,,"Polish pop, folk, synth pop & rock band"
The Oscar Peterson Trio,b083ec9b-27e0-4fda-801d-cb40861a0578,US,1946,,Group,,
The Crossing,78f8dbc1-fbdd-48af-9501-39677a71b9eb,,2005-11,,Choir,,US professional choir
Wolfmother,f0c8f75f-8736-4b1d-b312-9349fcff321d,AU,2003,,Group,,
Emilio Solla Tango Jazz Orchestra,361c2c20-bc20-4835-994e-5fda64b5b667,,,,Group,,
Black Sabbath,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,GB,1968-09,2025-07-05,Group,,English heavy metal band
Ciara,03172286-f7ed-4864-a4db-459cd5ca9790,,1985-10-25,,Person,female,American singer
Gulzar,409ce9a4-684c-442e-82c5-38f844eed73e,IN,1936-08-18,,Person,male,
Bebe Neuwirth,c2386b28-3331-4ad0-935e-14d4b657f842,US,1958-12-31,,Person,female,
London Symphony Choir; London Symphony Orchestra,7b3da2f8-f3b8-4def-a895-e4438bd8d248,SK,,,Choir,,
Matt Redman,16a99fc7-e323-4d04-81ab-46b09a0cb4eb,GB,1974-02-14,,Person,male,English Christian singer-songwriter
Michel Legrand,2c330f54-9245-488b-b678-dc8a236d06b3,FR,1932-02-24,2019-01-26,Person,male,
Dorothea Röschmann,a5a49da8-f65f-4402-a715-1648004f9f03,DE,1967-06-17,,Person,female,soprano
Britney Spears,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,US,1981-12-02,,Person,female,
Sara Bareilles,e54be6b7-5c26-4b47-bb3f-c137429b9b55,US,1979-12-07,,Person,female,
